lmax,repeat,stage,time_ms
1,13,1_convolution.denominator_ms,0.008699018508195877
1,13,2_convolution.weight_nn_ms,0.07275608368217945
1,13,2_convolution.src_gather_ms,0.011081807315349579
1,13,2_convolution.message_tp_ms,0.09238789789378643
1,13,2_convolution.aggregation_ms,0.03407592885196209
1,13,2_convolution.denominator_ms,0.008740928024053574
1,13,top_force_output_ms,2.7244819793850183
1,13,model_total_ms,5.026387982070446
1,14,edge_length_norm_ms,0.01495308242738247
1,14,radial_basis_ms,0.02998998388648033
1,14,cutoff_ms,0.05434802733361721
1,14,radial_combine_ms,0.0076750293374061584
1,14,spherical_harmonics_ms,0.0713481567800045
1,14,0_convolution.weight_nn_ms,0.07617892697453499
1,14,0_convolution.src_gather_ms,0.01113000325858593
1,14,0_convolution.message_tp_ms,0.08028792217373848
1,14,0_convolution.aggregation_ms,0.045187072828412056
1,14,0_convolution.denominator_ms,0.00788806937634945
1,14,1_convolution.weight_nn_ms,0.07312512025237083
1,14,1_convolution.src_gather_ms,0.010892050340771675
1,14,1_convolution.message_tp_ms,0.1804511994123459
1,14,1_convolution.aggregation_ms,0.0359478872269392
1,14,1_convolution.denominator_ms,0.008759088814258575
1,14,2_convolution.weight_nn_ms,0.07252302020788193
1,14,2_convolution.src_gather_ms,0.011074123904109001
1,14,2_convolution.message_tp_ms,0.096562085673213
1,14,2_convolution.aggregation_ms,0.03495486453175545
1,14,2_convolution.denominator_ms,0.008909963071346283
1,14,top_force_output_ms,2.7273250743746758
1,14,model_total_ms,4.983206046745181
1,15,edge_length_norm_ms,0.015645986422896385
1,15,radial_basis_ms,0.030869152396917343
1,15,cutoff_ms,0.05452893674373627
1,15,radial_combine_ms,0.00789598561823368
1,15,spherical_harmonics_ms,0.07627997547388077
1,15,0_convolution.weight_nn_ms,0.07827207446098328
1,15,0_convolution.src_gather_ms,0.011214055120944977
1,15,0_convolution.message_tp_ms,0.08009909652173519
1,15,0_convolution.aggregation_ms,0.03499793820083141
1,15,0_convolution.denominator_ms,0.008409842848777771
1,15,1_convolution.weight_nn_ms,0.0742059201002121
1,15,1_convolution.src_gather_ms,0.010906951501965523
1,15,1_convolution.message_tp_ms,0.18526497296988964
1,15,1_convolution.aggregation_ms,0.0360559206455946
1,15,1_convolution.denominator_ms,0.008746050298213959
1,15,2_convolution.weight_nn_ms,0.07282593287527561
1,15,2_convolution.src_gather_ms,0.010604970157146454
1,15,2_convolution.message_tp_ms,0.09282003156840801
1,15,2_convolution.aggregation_ms,0.033845892176032066
1,15,2_convolution.denominator_ms,0.008155126124620438
1,15,top_force_output_ms,2.771432977169752
1,15,model_total_ms,5.05623803474009
1,16,edge_length_norm_ms,0.015066936612129211
1,16,radial_basis_ms,0.03018602728843689
1,16,cutoff_ms,0.05404185503721237
1,16,radial_combine_ms,0.0077339354902505875
1,16,spherical_harmonics_ms,0.07221312262117863
1,16,0_convolution.weight_nn_ms,0.07740408182144165
1,16,0_convolution.src_gather_ms,0.01154397614300251
1,16,0_convolution.message_tp_ms,0.0792930368334055
1,16,0_convolution.aggregation_ms,0.03415881656110287
1,16,0_convolution.denominator_ms,0.008385861292481422
