epoch,lr,trainset_Energy_RMSE,trainset_Force_RMSE,trainset_Energy_MAE,trainset_Force_MAE,trainset_TotalLoss,validset_Energy_RMSE,validset_Force_RMSE,validset_Energy_MAE,validset_Force_MAE,validset_TotalLoss,testset_Energy_RMSE,testset_Force_RMSE,testset_Energy_MAE,testset_Force_MAE,testset_TotalLoss,lmax
5,0.002767,0.006431,0.339303,0.005362,0.132281,0.003879,0.00696,0.323858,0.006398,0.126862,0.003545,0.006776,0.339399,0.006138,0.130457,0.003886,8
6,0.002712,0.005222,0.292321,0.00411,0.115052,0.002876,0.00233,0.271678,0.001812,0.106874,0.002466,0.00243,0.277052,0.001915,0.108517,0.002564,8
7,0.002658,0.004154,0.248914,0.003225,0.099016,0.002083,0.003199,0.237877,0.002756,0.098415,0.001896,0.003295,0.243115,0.002831,0.099083,0.001981,8
8,0.002604,0.002685,0.216366,0.002138,0.087487,0.001568,0.002029,0.2158,0.001661,0.087154,0.001556,0.00204,0.218367,0.001612,0.087352,0.001594,8
9,0.002552,0.003062,0.196707,0.002481,0.079369,0.001299,0.004698,0.189542,0.004452,0.075958,0.00122,0.004588,0.191191,0.00433,0.076529,0.00124,8
10,0.002501,0.002951,0.179867,0.002387,0.07249,0.001087,0.003534,0.181022,0.003258,0.071978,0.001105,0.003431,0.182979,0.00314,0.072136,0.001128,8
11,0.002451,0.002975,0.168757,0.002404,0.067717,0.000958,0.002683,0.169634,0.002409,0.067869,0.000966,0.002813,0.17255,0.002532,0.06884,0.001,8
12,0.002402,0.002791,0.161852,0.002334,0.064862,0.000881,0.005069,0.161614,0.00492,0.063949,0.000896,0.005256,0.163852,0.005084,0.064926,0.000923,8
13,0.002354,0.002902,0.15214,0.002444,0.061052,0.00078,0.00336,0.161116,0.003149,0.065596,0.000877,0.003558,0.165403,0.003345,0.066868,0.000925,8
14,0.002307,0.003385,0.148575,0.002825,0.059578,0.000747,0.002171,0.148648,0.001916,0.059014,0.000741,0.00233,0.15179,0.002061,0.059698,0.000773,8
15,0.002261,0.003395,0.142344,0.00283,0.056769,0.000687,0.001536,0.14493,0.001273,0.057379,0.000703,0.001709,0.147295,0.001433,0.057889,0.000726,8
