lmax,stage,mean_ms,std_ms
6,spherical_harmonics_ms,1.0684900335036218,0.03983955015702135
6,top_force_output_ms,20.839326130226254,2.7174488187835784
7,0_convolution.aggregation_ms,0.047640129923820496,0.010331863263515033
7,0_convolution.denominator_ms,0.009910576045513153,0.001456574854591505
7,0_convolution.message_tp_ms,0.5697819753549993,1.1048096726455578
7,0_convolution.src_gather_ms,0.013443536590784788,0.001170521310073682
7,0_convolution.weight_nn_ms,0.09188872063532472,0.0074861010574415465
7,1_convolution.aggregation_ms,0.08531120838597417,0.011319105790076639
7,1_convolution.denominator_ms,0.012227753177285194,0.001085004895923989
7,1_convolution.message_tp_ms,14.15816448861733,25.039100542561332
7,1_convolution.src_gather_ms,0.013145781122148037,0.0010300467232780709
7,1_convolution.weight_nn_ms,0.09125906508415937,0.009555691448903598
7,2_convolution.aggregation_ms,0.042539951391518116,0.0067077837329904445
7,2_convolution.denominator_ms,0.00953903654590249,0.0005992187352243346
7,2_convolution.message_tp_ms,0.6529112579301,1.171867581790184
7,2_convolution.src_gather_ms,0.014001852832734585,0.0016711010065686561
7,2_convolution.weight_nn_ms,0.08444166742265224,0.00691612670427548
7,cutoff_ms,0.06590405246242881,0.007005952290594984
7,edge_length_norm_ms,0.022450333926826715,0.004754160818667707
7,model_total_ms,53.58829365577549,37.86298693822322
7,radial_basis_ms,0.04360870225355029,0.02264725890210315
7,radial_combine_ms,0.008666003122925758,0.00034117884100117466
7,spherical_harmonics_ms,1.5086552244611084,0.045646169113186016
7,top_force_output_ms,28.935126098804176,3.024221749710608
8,0_convolution.aggregation_ms,0.04668694455176592,0.007286743778449257
8,0_convolution.denominator_ms,0.00965365907177329,0.0006979680750177456
8,0_convolution.message_tp_ms,0.6419270648621023,1.2552646437307597
8,0_convolution.src_gather_ms,0.013863458298146725,0.0011894370028882547
8,0_convolution.weight_nn_ms,0.09883367456495762,0.005744022919119601
8,1_convolution.aggregation_ms,0.15043081948533654,0.015339916944970413
8,1_convolution.denominator_ms,0.014075241051614285,0.0015512305192078315
8,1_convolution.message_tp_ms,21.261271403636783,39.16514203335737
8,1_convolution.src_gather_ms,0.013192929327487946,0.0008716160820857971
8,1_convolution.weight_nn_ms,0.09539929451420903,0.0063405914622218845
8,2_convolution.aggregation_ms,0.041685509495437145,0.004744666324470302
8,2_convolution.denominator_ms,0.009729946032166481,0.0006738854914079925
8,2_convolution.message_tp_ms,0.7313165115192533,1.3230427979552692
8,2_convolution.src_gather_ms,0.014688842929899693,0.0018539049885277024
8,2_convolution.weight_nn_ms,0.08763069054111838,0.005370805945368846
8,cutoff_ms,0.06795035442337394,0.0036689023377470065
8,edge_length_norm_ms,0.02247521188110113,0.003459211850981692
8,model_total_ms,72.17717673629522,53.036977915730695
8,radial_basis_ms,0.04220644477754831,0.007686878670057785
8,radial_combine_ms,0.008949905168265104,0.0010487624670455903
8,spherical_harmonics_ms,2.0271943416446447,0.048088452526398616
8,top_force_output_ms,38.701761804986745,3.359354144725001
