dataset,sample_id,modal,natoms,case,n_warmup,n_repeat,device,resolved_policy,abs_energy_diff_mean,abs_energy_diff_std,abs_energy_diff_max,max_force_diff_mean,max_force_diff_std,max_force_diff_max,mean_force_diff_mean,mean_force_diff_std,mean_force_diff_max
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,1.1165936787923178e-06,3.115954386411563e-07,2.3245811462402344e-06,2.2074069552976046e-07,3.150336147435163e-08,3.000928359142563e-07
rmd17,rmd17_azobenzene,spice,24,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,1.4742215474446615e-06,3.6587197755165636e-07,2.2649765014648438e-06,2.90708888902221e-07,3.390708917935349e-08,3.6368146538734436e-07
salex_train_official,alex_go_aao_005:4493,omat24,132,sevennet_baseline,2,30,cuda,baseline,0.00010986328125,2.905854666562032e-05,0.00018310546875,1.459879179795583e-06,1.5801239633043293e-07,1.8775463104248047e-06,2.761997014507263e-07,1.2407390832587267e-08,3.018331824478082e-07
salex_train_official,alex_go_aao_005:4493,omat24,132,sevennet_geometry_only,2,30,cuda,geometry_only,8.951822916666666e-05,3.0449685764761897e-05,0.0001220703125,2.1204973260561626e-06,2.7412656233549064e-07,2.7120113372802734e-06,4.271426130723436e-07,1.505550674031265e-08,4.660096522002277e-07
salex_val_official,alex_go_aao_006:1039,omat24,128,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,1.773051917552948e-06,3.480766177902859e-07,2.5853514671325684e-06,2.4127490642437505e-07,1.6560235926827123e-08,2.747195537722291e-07
salex_val_official,alex_go_aao_006:1039,omat24,128,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,3.1203031539916993e-06,3.635033336478899e-07,3.98978590965271e-06,4.921489297278943e-07,1.8055852987873273e-08,5.302242129801016e-07
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,1.235802968343099e-06,1.8844454608566562e-07,1.430511474609375e-06,2.514243088095706e-07,1.6909231473078823e-08,2.772341645140841e-07
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,1.4570852120717366e-06,2.3546415002649293e-07,2.0265579223632812e-06,2.7996858875667385e-07,1.667124115381948e-08,3.227154934393184e-07
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,2,30,cuda,baseline,0.0,0.0,0.0,5.423557013273239e-07,7.254111629024711e-08,7.599592208862305e-07,9.969422762878821e-08,4.768109761664776e-09,1.0913471015783216e-07
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_geometry_only,2,30,cuda,geometry_only,0.0,0.0,0.0,6.476727624734242e-07,8.746293656968362e-08,8.940696716308594e-07,1.2755494888475974e-07,5.379594436281514e-09,1.430977079053264e-07
