quadrant,dataset,lmax,stage_group,mean_ms,std_ms
large_sparse,oc20_s2ef_train_20m,6,other_ms,3.15878939970086,0.1671069392138808
large_sparse,oc20_s2ef_train_20m,6,radial_total_ms,0.10852522682398558,0.012995024936174203
large_sparse,oc20_s2ef_train_20m,6,spherical_harmonics_ms,1.169570644075672,0.12387648152682874
large_sparse,oc20_s2ef_train_20m,6,tp_total_ms,9.286097654451927,0.025919422581853372
large_sparse,oc20_s2ef_train_20m,6,weight_nn_total_ms,0.30578487397481996,0.00869629762026523
large_sparse,oc20_s2ef_train_20m,7,force_output_ms,139.1751024251183,0.07821927574533427
large_sparse,oc20_s2ef_train_20m,7,gather_total_ms,1.2381013948470354,0.01051818909353087
large_sparse,oc20_s2ef_train_20m,7,model_total_ms,162.46175300329924,0.31401902289141737
large_sparse,oc20_s2ef_train_20m,7,other_ms,3.7699944727743664,0.19466745552225054
large_sparse,oc20_s2ef_train_20m,7,radial_total_ms,0.1104658857608835,0.0046083376138021
large_sparse,oc20_s2ef_train_20m,7,spherical_harmonics_ms,1.713878366475304,0.21321879537898625
large_sparse,oc20_s2ef_train_20m,7,tp_total_ms,16.12389701573799,0.026757909175453894
large_sparse,oc20_s2ef_train_20m,7,weight_nn_total_ms,0.33031344258536893,0.005929278330191941
large_sparse,oc20_s2ef_train_20m,8,force_output_ms,266.82866495102644,0.12359011535656016
large_sparse,oc20_s2ef_train_20m,8,gather_total_ms,1.8797942049180467,0.013500950667645473
large_sparse,oc20_s2ef_train_20m,8,model_total_ms,303.06805217793834,0.5644570079151173
large_sparse,oc20_s2ef_train_20m,8,other_ms,4.481381728934745,0.28593691114283826
large_sparse,oc20_s2ef_train_20m,8,radial_total_ms,0.11789922912915547,0.010215924516823748
large_sparse,oc20_s2ef_train_20m,8,spherical_harmonics_ms,2.4701403376335898,0.35462426586912665
large_sparse,oc20_s2ef_train_20m,8,tp_total_ms,26.912910072132945,0.03414454379372868
large_sparse,oc20_s2ef_train_20m,8,weight_nn_total_ms,0.37726165416340035,0.008488447780459136
small_dense,salex_val_official,1,force_output_ms,2.6573867769911885,0.041605667154358116
small_dense,salex_val_official,1,gather_total_ms,0.14497428201138973,0.006022190479335784
small_dense,salex_val_official,1,model_total_ms,5.048972042277455,0.108170694481573
small_dense,salex_val_official,1,other_ms,1.356761995702982,0.09636381061432514
small_dense,salex_val_official,1,radial_total_ms,0.09726748491326968,0.00546119596460979
small_dense,salex_val_official,1,spherical_harmonics_ms,0.0997212715446949,0.027685725703269985
small_dense,salex_val_official,1,tp_total_ms,0.4698681567485134,0.00673784795132367
small_dense,salex_val_official,1,weight_nn_total_ms,0.22299207436541715,0.006124349900400205
small_dense,salex_val_official,2,force_output_ms,4.178263177163899,0.23703722939716118
small_dense,salex_val_official,2,gather_total_ms,0.1682186033576727,0.004218267180655974
small_dense,salex_val_official,2,model_total_ms,7.109314932798346,0.25104884275087586
small_dense,salex_val_official,2,other_ms,1.6312617886190612,0.03377328400613924
small_dense,salex_val_official,2,radial_total_ms,0.10097868119676907,0.006841604006850831
small_dense,salex_val_official,2,spherical_harmonics_ms,0.16422493693729243,0.042986631351224304
small_dense,salex_val_official,2,tp_total_ms,0.634680618532002,0.0167742695125538
small_dense,salex_val_official,2,weight_nn_total_ms,0.23168712699164948,0.00905673886025799
small_dense,salex_val_official,3,force_output_ms,6.251887332958479,0.05133312906267863
small_dense,salex_val_official,3,gather_total_ms,0.23631274234503508,0.008989282455513826
small_dense,salex_val_official,3,model_total_ms,10.457930690608919,0.10741148008590418
small_dense,salex_val_official,3,other_ms,1.9240486280371745,0.04306910663673705
small_dense,salex_val_official,3,radial_total_ms,0.10007713766147693,0.009874254573041866
small_dense,salex_val_official,3,spherical_harmonics_ms,0.2396110367650787,0.041919262240476644
small_dense,salex_val_official,3,tp_total_ms,1.4604852146779497,0.023905627568333553
small_dense,salex_val_official,3,weight_nn_total_ms,0.24550859816372395,0.010218586314441211
small_dense,salex_val_official,4,force_output_ms,15.055775510457655,0.04383866573344841
small_dense,salex_val_official,4,gather_total_ms,0.4054889005298416,0.00957525164546208
small_dense,salex_val_official,4,model_total_ms,21.81713403357814,0.1424228962964846
small_dense,salex_val_official,4,other_ms,2.31029677670449,0.07958150874244498
small_dense,salex_val_official,4,radial_total_ms,0.10126532676319282,0.010855591349322126
small_dense,salex_val_official,4,spherical_harmonics_ms,0.4744048696011305,0.05592961972594369
small_dense,salex_val_official,4,tp_total_ms,3.2130089976514378,0.04815160990423419
small_dense,salex_val_official,4,weight_nn_total_ms,0.25689365187038976,0.007946990728154765
