repeat,stage,time_ms,quadrant,dataset,lmax
8,1_convolution.src_gather_ms,0.011076917871832848,small_sparse,spice_2023,1
8,1_convolution.message_tp_ms,0.17905700951814651,small_sparse,spice_2023,1
8,1_convolution.aggregation_ms,0.03549596294760704,small_sparse,spice_2023,1
8,1_convolution.denominator_ms,0.008405884727835655,small_sparse,spice_2023,1
8,2_convolution.weight_nn_ms,0.07293908856809139,small_sparse,spice_2023,1
8,2_convolution.src_gather_ms,0.011072959750890732,small_sparse,spice_2023,1
8,2_convolution.message_tp_ms,0.09182211942970753,small_sparse,spice_2023,1
8,2_convolution.aggregation_ms,0.03413017839193344,small_sparse,spice_2023,1
8,2_convolution.denominator_ms,0.008369097486138344,small_sparse,spice_2023,1
8,top_force_output_ms,2.6804348453879356,small_sparse,spice_2023,1
8,model_total_ms,4.91082901135087,small_sparse,spice_2023,1
9,edge_length_norm_ms,0.013902084901928902,small_sparse,spice_2023,1
9,radial_basis_ms,0.037425896152853966,small_sparse,spice_2023,1
9,cutoff_ms,0.05421089008450508,small_sparse,spice_2023,1
9,radial_combine_ms,0.007735099643468857,small_sparse,spice_2023,1
9,spherical_harmonics_ms,0.1297169364988804,small_sparse,spice_2023,1
9,0_convolution.weight_nn_ms,0.07946696132421494,small_sparse,spice_2023,1
9,0_convolution.src_gather_ms,0.011151190847158432,small_sparse,spice_2023,1
9,0_convolution.message_tp_ms,0.08234800770878792,small_sparse,spice_2023,1
9,0_convolution.aggregation_ms,0.03580399788916111,small_sparse,spice_2023,1
9,0_convolution.denominator_ms,0.008231028914451599,small_sparse,spice_2023,1
9,1_convolution.weight_nn_ms,0.07488811388611794,small_sparse,spice_2023,1
9,1_convolution.src_gather_ms,0.010977964848279953,small_sparse,spice_2023,1
9,1_convolution.message_tp_ms,0.1788400113582611,small_sparse,spice_2023,1
9,1_convolution.aggregation_ms,0.0357490498572588,small_sparse,spice_2023,1
9,1_convolution.denominator_ms,0.00860891304910183,small_sparse,spice_2023,1
9,2_convolution.weight_nn_ms,0.08466513827443123,small_sparse,spice_2023,1
9,2_convolution.src_gather_ms,0.011342111974954605,small_sparse,spice_2023,1
9,2_convolution.message_tp_ms,0.12313993647694588,small_sparse,spice_2023,1
9,2_convolution.aggregation_ms,0.04134210757911205,small_sparse,spice_2023,1
9,2_convolution.denominator_ms,0.03325706347823143,small_sparse,spice_2023,1
9,top_force_output_ms,2.669495064765215,small_sparse,spice_2023,1
9,model_total_ms,5.0658779218792915,small_sparse,spice_2023,1
10,edge_length_norm_ms,0.014613848179578781,small_sparse,spice_2023,1
10,radial_basis_ms,0.029913149774074554,small_sparse,spice_2023,1
10,cutoff_ms,0.06697583012282848,small_sparse,spice_2023,1
10,radial_combine_ms,0.007896916940808296,small_sparse,spice_2023,1
10,spherical_harmonics_ms,0.13387715443968773,small_sparse,spice_2023,1
10,0_convolution.weight_nn_ms,0.07734005339443684,small_sparse,spice_2023,1
10,0_convolution.src_gather_ms,0.011183787137269974,small_sparse,spice_2023,1
10,0_convolution.message_tp_ms,0.07784692570567131,small_sparse,spice_2023,1
10,0_convolution.aggregation_ms,0.03404100425541401,small_sparse,spice_2023,1
