system,category,case,mode,repeat,stage,ms,num_edges,num_pairs
dimer_small,small_sparse,baseline,forward_energy,18,edge_length_norm_ms,0.013356097042560577,2,0
dimer_small,small_sparse,baseline,forward_energy,18,radial_basis_cutoff_ms,0.09571900591254234,2,0
dimer_small,small_sparse,baseline,forward_energy,18,spherical_harmonics_ms,0.14914409257471561,2,0
dimer_small,small_sparse,baseline,forward_energy,18,edge_length_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,18,edge_embedding_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,18,edge_attr_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,18,edge_attr_sign_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,18,conv_weight_nn_ms,0.21007121540606022,2,0
dimer_small,small_sparse,baseline,forward_energy,18,conv_weight_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,18,conv_src_gather_ms,0.03324798308312893,2,0
dimer_small,small_sparse,baseline,forward_energy,18,conv_message_tp_ms,0.5886112339794636,2,0
dimer_small,small_sparse,baseline,forward_energy,18,conv_message_gather_ms,0.10821293108165264,2,0
dimer_small,small_sparse,baseline,forward_energy,18,model_total_ms,2.8529400005936623,2,0
dimer_small,small_sparse,baseline,forward_energy,19,edge_pair_vec_select_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,19,edge_length_norm_ms,0.01300009898841381,2,0
dimer_small,small_sparse,baseline,forward_energy,19,radial_basis_cutoff_ms,0.09859190322458744,2,0
dimer_small,small_sparse,baseline,forward_energy,19,spherical_harmonics_ms,0.13400218449532986,2,0
dimer_small,small_sparse,baseline,forward_energy,19,edge_length_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,19,edge_embedding_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,19,edge_attr_expand_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,19,edge_attr_sign_ms,0.0,2,0
dimer_small,small_sparse,baseline,forward_energy,19,conv_weight_nn_ms,0.2088670153170824,2,0
dimer_small,small_sparse,baseline,forward_energy,19,conv_weight_expand_ms,0.0,2,0
