dataset,sample_id,modal,natoms,case,resolved_policy,n_warmup,n_repeat,device,mean_ms,std_ms,median_ms,p95_ms,warmup_mean_ms,warmup_std_ms,abs_energy_diff_vs_e3nn,max_abs_force_diff_vs_e3nn
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,full,3,10,cuda,146.151217748411,0.23036736567394828,146.14882098976523,146.4451976818964,242.82462801784277,89.97364170170185,0.0,1.52587890625e-05
omol25_validation,OMol25_validation_data0012_18589,omol25_low,350,e3nn_baseline,baseline,3,10,cuda,274.19488648884,0.13969429981288015,274.18687054887414,274.40425413660705,329.8002660740167,35.70540934818256,0.0,2.9206275939941406e-06
omol25_validation,OMol25_validation_data0012_18589,omol25_low,350,e3nn_pair_full,full,3,10,cuda,271.65207699872553,0.4046366477072093,271.5645495336503,272.3280644393526,395.5001416616142,133.09448063362683,0.0,3.0994415283203125e-06
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,baseline,3,10,cuda,29.368734592571855,0.18417747727849418,29.411018011160195,29.600535007193685,111.8072997002552,39.94095352190234,0.0,7.639248167379264e-08
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,full,3,10,cuda,47.74914663285017,0.2894805130228878,47.677600057795644,48.268320644274354,131.22402100513378,50.38824938103647,0.0,6.213255687725905e-08
qm9_hf,0_3057,qcml,29,e3nn_baseline,baseline,3,10,cuda,29.40622386522591,0.17210316919232482,29.41260952502489,29.6696376404725,111.99974579115708,39.78583821688398,0.0,5.736947059631348e-07
qm9_hf,0_3057,qcml,29,e3nn_pair_full,full,3,10,cuda,48.07258027140051,0.20641223623575047,47.991177532821894,48.42492319876328,138.81823071278632,59.81781386251084,0.0,1.1771917343139648e-06
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,baseline,3,10,cuda,29.476173082366586,0.1687289725569441,29.434705968014896,29.785090184304863,111.89557860294978,39.99409211432629,0.0,1.430511474609375e-06
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,full,3,10,cuda,48.049316997639835,0.26572318531339695,47.97127447091043,48.48574426723644,132.13551696389914,51.482139171564036,0.0,1.430511474609375e-06
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,baseline,3,10,cuda,152.02908711507916,0.24274710325422166,151.9572475226596,152.41658311570063,217.9350173100829,42.28902953734779,0.0001220703125,1.519918441772461e-06
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,full,3,10,cuda,147.97975244000554,0.15310708550007765,147.9921475984156,148.1736610061489,243.1883333871762,88.16225407569864,6.103515625e-05,1.862645149230957e-06
salex_val_official,alex_go_aao_006:1039,omat24,128,e3nn_baseline,baseline,3,10,cuda,200.9452628204599,0.09913171520689668,200.9472924983129,201.05911411810666,265.0998112124701,41.43787383933672,0.0,1.3560056686401367e-06
salex_val_official,alex_go_aao_006:1039,omat24,128,e3nn_pair_full,full,3,10,cuda,198.32205441780388,0.29518639183378087,198.34405300207436,198.75070941634476,303.4880703004698,103.44331216588166,0.0,3.814697265625e-06
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,baseline,3,10,cuda,30.61731008347124,0.22999089976588935,30.580869992263615,31.003927648998797,113.14622041148444,40.09010904336735,0.0,9.5367431640625e-07
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_pair_full,full,3,10,cuda,49.85837347339839,0.3449410194614801,49.93126541376114,50.30894555384293,137.65863802594444,55.69550646130159,0.0,1.430511474609375e-06
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,baseline,3,10,cuda,34.77846987079829,0.2342655236672065,34.652289003133774,35.16904909629375,113.9780196826905,40.605573304110536,0.0,5.960464477539062e-07
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,full,3,10,cuda,48.96081783808768,0.24978430942758362,48.947495059110224,49.351202964317054,141.47929932611683,61.856734630076645,0.0,7.152557373046875e-07
