dataset,sample_id,natoms,case,stage,time_ms,calls,load
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,0_convolution.reverse_src_index_ms,0.0094910501502454,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,0_convolution.reverse_weight_select_ms,0.0440579606220126,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,0_convolution.weight_nn_ms,0.1234899973496794,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,1_convolution.denominator_ms,0.0156940077431499,1.0,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,1_convolution.forward_aggregation_ms,0.5052329506725073,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,1_convolution.forward_dst_index_ms,0.0083170016296207,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,1_convolution.forward_filter_gather_ms,0.010098039638251,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,1_convolution.forward_message_tp_ms,3.762690990697593,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,1_convolution.forward_src_gather_ms,0.0497499713674187,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,1_convolution.forward_src_index_ms,0.0128619722090661,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,1_convolution.reverse_aggregation_ms,0.5351539584808052,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,1_convolution.reverse_dst_index_ms,0.0074290437623858,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,1_convolution.reverse_filter_gather_ms,0.0105910003185272,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,1_convolution.reverse_message_tp_ms,3.760435036383569,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,1_convolution.reverse_src_gather_ms,0.044546031858772,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,1_convolution.reverse_src_index_ms,0.0098369782790541,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,1_convolution.reverse_weight_select_ms,0.1815889845602214,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,1_convolution.weight_nn_ms,0.1706869807094335,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,2_convolution.denominator_ms,0.0195949687622487,1.0,0.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,2_convolution.forward_aggregation_ms,0.8263280033133924,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,2_convolution.forward_dst_index_ms,0.008180970326066,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,2_convolution.forward_filter_gather_ms,0.0101159675978124,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,2_convolution.forward_message_tp_ms,7.303792051970959,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,2_convolution.forward_src_gather_ms,0.0850590295158326,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,2_convolution.forward_src_index_ms,0.0142299686558544,1.0,12012.0
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,370,e3nn_pair_full,2_convolution.reverse_aggregation_ms,0.8811780135147274,1.0,12012.0
