dataset,sample_id,modal,natoms,case,n_warmup,n_repeat,device,resolved_policy,abs_energy_diff_mean,abs_energy_diff_std,abs_energy_diff_max,max_force_diff_mean,max_force_diff_std,max_force_diff_max,mean_force_diff_mean,mean_force_diff_std,mean_force_diff_max
oc22_s2ef_val_ood,is2re_val_ood_43,oc22,216,e3nn_pair_full,2,10,cuda,full,1.8310546875e-05,2.7969822356908206e-05,6.103515625e-05,1.8674880266189576e-06,1.5569797211450242e-07,2.1345913410186768e-06,4.3642131117849205e-07,6.803946478920143e-09,4.4727693193635787e-07
omat24_1m_official,train:106751,omat24,160,e3nn_baseline,2,10,cuda,baseline,6.103515625e-06,1.8310546875000003e-05,6.103515625e-05,8.23974609375e-05,3.0669786441408965e-05,0.000152587890625,1.1137702188079856e-06,2.4757710383626374e-07,1.718096086733567e-06
omat24_1m_official,train:106751,omat24,160,e3nn_pair_full,2,10,cuda,full,6.103515625e-06,1.8310546875000003e-05,6.103515625e-05,0.00018310546875,5.459150335692846e-05,0.000244140625,1.9388277110010675e-06,1.5177087799710224e-07,2.1073112748126732e-06
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,1.9669532775878906e-06,2.833572464944056e-07,2.384185791015625e-06,2.3105580879700937e-07,7.455932560388301e-09,2.445351583446609e-07
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,3.0100345611572266e-06,2.3541948387779592e-07,3.4570693969726562e-06,4.4549513802394356e-07,6.299097473237689e-09,4.5197438680588675e-07
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,6.4849853515625e-06,1.7481138973067625e-06,7.62939453125e-06,3.8382049751817247e-07,2.8584891474610175e-08,4.5040337681712117e-07
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,1.468658447265625e-05,3.1972989300232337e-06,2.288818359375e-05,7.666373051051778e-07,2.3329627083910824e-08,8.030967819649959e-07
omol25_validation,OMol25_validation_data0012_18589,omol25_low,350,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,2.0906329154968263e-06,1.516774258625274e-07,2.3543834686279297e-06,2.5268963383950903e-07,7.117246882570356e-09,2.6346495474172116e-07
omol25_validation,OMol25_validation_data0012_18589,omol25_low,350,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,3.24249267578125e-06,4.6415143809155903e-07,4.291534423828125e-06,4.747562314832976e-07,7.059784835078811e-09,4.877868491348636e-07
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,7.482392092583722e-08,1.2082000656794188e-08,9.872019290924072e-08,2.727154644333041e-08,2.8026125861964695e-09,3.151705740833677e-08
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,9.118332329194345e-08,1.1530907040261285e-08,1.1709595071351941e-07,3.28702039809059e-08,4.6090213004463924e-09,3.8952304493022893e-08
qm9_hf,0_3057,qcml,29,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,5.818903446197509e-07,8.151153103008954e-08,7.152557373046875e-07,1.225368961854656e-07,1.194158663369526e-08,1.4218458943560108e-07
qm9_hf,0_3057,qcml,29,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,8.791685104370117e-07,2.1073424255447017e-07,1.2293457984924316e-06,1.797088600596908e-07,1.3889046778510966e-08,2.0011927404084418e-07
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,1.2531876564025878e-06,4.1297728823370824e-07,2.3245811462402344e-06,2.634918530475261e-07,4.6034498628493405e-08,3.5338518955541076e-07
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,1.5631318092346192e-06,3.8377072061417614e-07,2.205371856689453e-06,3.2678557033705146e-07,2.7302363023607975e-08,3.7824631249350205e-07
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,2,10,cuda,baseline,3.662109375e-05,4.048614246039307e-05,0.0001220703125,1.4312565326690673e-06,1.4043702119082985e-07,1.6689300537109375e-06,2.8680313448603554e-07,2.0643049150086586e-08,3.152761962610384e-07
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,2,10,cuda,full,6.103515625e-05,2.729575167846423e-05,0.0001220703125,2.44826078414917e-06,2.5428647113092423e-07,3.0100345611572266e-06,4.557988972919702e-07,1.0118332205432611e-08,4.726725251202879e-07
salex_val_official,alex_go_aao_006:1039,omat24,128,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,1.4444813132286072e-06,1.1753054737750402e-07,1.6540288925170898e-06,2.306744420366158e-07,1.5040329544483605e-08,2.5922963686753064e-07
salex_val_official,alex_go_aao_006:1039,omat24,128,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,4.358962178230285e-06,3.130771290432034e-07,4.742294549942017e-06,5.68899793051969e-07,9.601051840130627e-09,5.855799827259034e-07
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,9.5367431640625e-07,1.066240299940009e-07,1.1920928955078125e-06,1.9605630825481056e-07,1.4684110576799408e-08,2.190003272062313e-07
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,1.1309981346130372e-06,1.1779459818584724e-07,1.2516975402832031e-06,2.3634664501059887e-07,1.503995843575558e-08,2.559183656103414e-07
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,2,10,cuda,baseline,0.0,0.0,0.0,5.175359547138215e-07,1.1056022872055012e-07,7.748603820800781e-07,9.787253461013278e-08,4.022724050640405e-09,1.0398139238532167e-07
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,2,10,cuda,full,0.0,0.0,0.0,6.206333637237549e-07,6.053338824793578e-08,7.003545761108398e-07,1.2193131198046104e-07,6.943046359058609e-09,1.3491217032424174e-07
