dataset,sample_id,modal,natoms,case,resolved_policy,n_warmup,n_repeat,device,mean_ms,std_ms,median_ms,p95_ms,warmup_mean_ms,warmup_std_ms,abs_energy_diff_vs_e3nn,max_abs_force_diff_vs_e3nn
omol25_validation,OMol25_validation_data0012_18589,omol25_low,350,e3nn_baseline,baseline,3,30,cuda,274.25824001741904,0.2611684473010076,274.2265505949036,274.7628213255666,330.862515217935,36.50857575229303,0.0,2.86102294921875e-06
omol25_validation,OMol25_validation_data0012_18589,omol25_low,350,e3nn_pair_full,full,3,30,cuda,271.5910599023725,0.319772928487671,271.48227114230394,272.13483239756897,339.35546906044084,54.90493398403675,0.0,2.264976501464844e-06
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_baseline,baseline,3,30,cuda,29.51529951921354,0.0965330168898827,29.509877553209662,29.67553937342018,112.59762135644752,40.567275554456295,0.0,8.568167686462402e-08
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,e3nn_pair_full,full,3,30,cuda,47.97755368830016,0.2104415678934663,47.9727954370901,48.29171991441399,131.99875604671738,50.79934185743146,0.0,7.197901652489237e-08
qm9_hf,0_3057,qcml,29,e3nn_baseline,baseline,3,30,cuda,29.592795150044065,0.1647820731516897,29.59681849461049,29.90840576821938,112.78713354840876,40.15909074560321,0.0,5.21540641784668e-07
qm9_hf,0_3057,qcml,29,e3nn_pair_full,full,3,30,cuda,48.49988922166328,0.2880551562893234,48.4388543991372,48.99012399837375,132.74509001833698,51.012607158681774,0.0,9.08970832824707e-07
rmd17,rmd17_azobenzene,spice,24,e3nn_baseline,baseline,3,30,cuda,29.547738175218303,0.1225462771093211,29.56334443297237,29.774671408813447,113.20538601527612,40.470397141064765,0.0,7.152557373046875e-07
rmd17,rmd17_azobenzene,spice,24,e3nn_pair_full,full,3,30,cuda,48.16700757946819,0.2162758159134427,48.13954886049032,48.62821797141805,132.176510989666,50.45719815083117,0.0,1.1920928955078125e-06
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_baseline,baseline,3,30,cuda,151.936005637981,0.2042750180537176,151.92365855909884,152.30901506729424,218.62866504428288,43.16439685947525,6.103515625e-05,1.4007091522216797e-06
salex_train_official,alex_go_aao_005:4493,omat24,132,e3nn_pair_full,full,3,30,cuda,147.88064831712595,0.2752868483850765,147.94697507750243,148.24536830419677,221.31579229608175,57.85904666459104,6.103515625e-05,2.056360244750977e-06
salex_val_official,alex_go_aao_006:1039,omat24,128,e3nn_baseline,baseline,3,30,cuda,201.41295697540045,0.3750605560257957,201.34299248456955,202.2193794255145,264.5480476785451,40.77847744266932,0.0,1.6614794731140137e-06
salex_val_official,alex_go_aao_006:1039,omat24,128,e3nn_pair_full,full,3,30,cuda,198.5570884309709,0.7348547320825936,198.4398914501071,199.1429624846205,270.5886666662991,57.68913990466032,0.0,4.239380359649658e-06
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_baseline,baseline,3,30,cuda,30.956597439944744,0.1816644775444809,30.94575216528028,31.29862156929448,114.13282031814258,40.546362047154005,0.0,1.1920928955078125e-06
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,e3nn_pair_full,full,3,30,cuda,49.48672789614648,0.4459217833893117,49.39106001984328,50.48454689094797,133.69685295037925,51.10074993232279,0.0,9.5367431640625e-07
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_baseline,baseline,3,30,cuda,34.579251745405294,0.2737155634078916,34.53807660844177,35.14804420992732,115.01330796939632,40.8114493022581,0.0,4.76837158203125e-07
wbm_initial,wbm_initial:23057,matpes_pbe,100,e3nn_pair_full,full,3,30,cuda,48.97170717207094,0.2799835290854953,48.94808551762253,49.449332046788186,134.09891864284873,52.17855436030989,0.0,6.854534149169922e-07
